VehID,LinkID,Time,Vehicle_type,Av_link_speed,acc,dec_coast,avg_VSP,norm_VSP,NOx,HC,CO,PM,PN,NO,veh_group,link_speed_av
NA,20939,NA,NA,NA,NA,NA,NA,NA,1.503013738293245,1.503013738293245,1.503013738293245,1.503013738293245,23004897737302.105,1.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,6.897667551291068,6.897667551291068,6.897667551291068,6.897667551291068,10008173033750.764,6.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,10.8163581849253846,10.12328167030001985,10.8412917150029932,10.008985363987048536,10077674235374.033,10.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,15.2300834572168906,15.27972185881866574,15.9088618912826536,15.020387481046475645,22865895334055.566,15.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,16.8163581849253846,16.12243145188415765,16.8354897031753863,16.008923395959551649,10008173033750.764,16.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,18.8163581849253846,18.12243145188415765,18.8354897031753863,18.008923395959551649,10008173033750.764,18.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,1.503013738293245,1.503013738293245,1.503013738293245,1.503013738293245,23004897737302.105,1.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,6.897667551291068,6.897667551291068,6.897667551291068,6.897667551291068,10008173033750.764,6.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,10.8163581849253846,10.12328167030001985,10.8412917150029932,10.008985363987048536,10077674235374.033,10.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,15.2300834572168906,15.27972185881866574,15.9088618912826536,15.020387481046475645,22865895334055.566,15.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,16.8163581849253846,16.12243145188415765,16.8354897031753863,16.008923395959551649,10008173033750.764,16.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,18.8163581849253846,18.12243145188415765,18.8354897031753863,18.008923395959551649,10008173033750.764,18.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,1.503013738293245,1.503013738293245,1.503013738293245,1.503013738293245,23004897737302.105,1.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,6.897667551291068,6.897667551291068,6.897667551291068,6.897667551291068,10008173033750.764,6.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,10.8163581849253846,10.12328167030001985,10.8412917150029932,10.008985363987048536,10077674235374.033,10.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,15.2300834572168906,15.27972185881866574,15.9088618912826536,15.020387481046475645,22865895334055.566,15.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,16.8163581849253846,16.12243145188415765,16.8354897031753863,16.008923395959551649,10008173033750.764,16.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,18.8163581849253846,18.12243145188415765,18.8354897031753863,18.008923395959551649,10008173033750.764,18.19176604398117833,car,50
